g,dB,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
0.05,0.0589473684210526,1,0.919,13.784548422198,0,NaN,0.31,28.5,0.671,12.6512667660209
0.05,0.0589473684210526,2,0.921,12.7415852334419,0,NaN,0.54,29.9703703703704,0.899,12.9666295884316
0.05,0.0589473684210526,3,0.887,10.1972942502818,0,NaN,0.663,26.6666666666667,0.956,12.0753138075314
0.05,0.0589473684210526,4,0.905,10.0585635359116,0,NaN,0.78,26.4448717948718,0.987,13.0932117527862
0.05,0.0589473684210526,5,0.913,11.118291347207,0,NaN,0.858,28.0606060606061,0.998,13.190380761523
0.05,0.0589473684210526,6,0.884,10.9886877828054,0,NaN,0.907,28.5126791620728,0.999,12.4094094094094
0.05,0.0589473684210526,7,0.895,12.4268156424581,0,NaN,0.936,31.6965811965812,0.999,14.4234234234234
0.05,0.0589473684210526,8,0.902,9.02549889135255,0,NaN,0.959,28.9603753910323,1,12.981
0.05,0.0589473684210526,9,0.902,10.3924611973392,0,NaN,0.969,28.18782249742,1,13.706
0.05,0.0589473684210526,10,0.904,9.51216814159292,0,NaN,0.978,27.1768916155419,1,13.382
0.05,0.0589473684210526,11,0.917,10.742639040349,0,NaN,0.982,28.8279022403259,1,14.229
0.05,0.0589473684210526,12,0.898,9.52895322939866,0,NaN,0.986,30.7799188640974,1,12.498
0.05,0.0589473684210526,13,0.928,8.90301724137931,0,NaN,0.991,30.6246215943491,1,12.392
0.05,0.0589473684210526,14,0.906,10.8333333333333,0,NaN,0.993,30.4954682779456,1,13.448
0.05,0.0589473684210526,15,0.907,11.1389195148842,0,NaN,0.998,29.5260521042084,1,14.484
0.05,0.0589473684210526,16,0.904,8.40929203539823,0,NaN,0.998,27.4759519038076,1,13.175
0.05,0.0589473684210526,17,0.905,10.7867403314917,0,NaN,0.999,28.5685685685686,1,13.095
0.05,0.0589473684210526,18,0.911,9.77387486278814,0,NaN,0.999,27.6886886886887,1,12.959
0.05,0.0589473684210526,19,0.905,9.85524861878453,0,NaN,0.999,28.3863863863864,1,13.291
0.05,0.0589473684210526,20,0.918,8.92592592592593,0,NaN,0.999,25.7467467467467,1,12.775
0.05,0.0589473684210526,21,0.888,8.98648648648649,0,NaN,1,26.212,1,11.39
0.05,0.0589473684210526,22,0.9,10.9688888888889,0,NaN,1,28.691,1,13.074
0.05,0.0589473684210526,23,0.907,11.2249173098126,0,NaN,1,28.743,1,14.178
0.05,0.0589473684210526,24,0.913,9.48521358159912,0,NaN,1,28.13,1,12.065
0.05,0.0589473684210526,25,0.911,9.87266739846323,0,NaN,1,27.715,1,12.444
0.05,0.0589473684210526,26,0.918,10.1579520697168,0,NaN,1,27.286,1,12.945
0.05,0.0589473684210526,27,0.892,11.5695067264574,0,NaN,1,27.977,1,14.365
0.05,0.0589473684210526,28,0.904,8.23008849557522,0,NaN,1,26.354,1,11.326
0.05,0.0589473684210526,29,0.895,9.20670391061453,0,NaN,1,26.078,1,11.737
0.05,0.0589473684210526,30,0.899,12.5628476084538,0,NaN,1,30.963,1,13.756
0.05,0.0589473684210526,31,0.909,10.4499449944995,0,NaN,1,30.685,1,13.523
0.05,0.0589473684210526,32,0.914,9.70459518599562,0,NaN,1,29.963,1,12.455
0.05,0.0589473684210526,33,0.91,9.16813186813187,0,NaN,1,28.783,1,12.089
0.05,0.0589473684210526,34,0.912,11.3519736842105,0,NaN,1,30.313,1,14.45
0.05,0.0589473684210526,35,0.903,13.7475083056478,0,NaN,1,32.075,1,16.24
0.05,0.0589473684210526,36,0.906,10.5949227373068,0,NaN,1,28.948,1,13.852
0.05,0.0589473684210526,37,0.909,9.60946094609461,0,NaN,1,29.015,1,12.373
0.05,0.0589473684210526,38,0.885,11.1242937853107,0,NaN,1,31.065,1,12.806
0.05,0.0589473684210526,39,0.909,9.08690869086909,0,NaN,1,30.29,1,11.707
0.05,0.0589473684210526,40,0.901,9.09100998890122,0,NaN,1,29.701,1,11.523
0.05,0.0589473684210526,41,0.892,10.5403587443946,0,NaN,1,29.893,1,12.409
0.05,0.0589473684210526,42,0.911,11.6509330406147,0,NaN,1,31.332,1,14.009
0.05,0.0589473684210526,43,0.901,11.1220865704772,0,NaN,1,31.741,1,14.008
0.05,0.0589473684210526,44,0.907,10.2403528114664,0,NaN,1,29.645,1,14.076
0.05,0.0589473684210526,45,0.908,9.47026431718062,0,NaN,1,28.664,1,13.398
0.05,0.0589473684210526,46,0.929,9.53821313240043,0,NaN,1,28.476,1,13.055
0.05,0.0589473684210526,47,0.909,10.1639163916392,0,NaN,1,28.247,1,13.619
0.05,0.0589473684210526,48,0.924,10.2121212121212,0,NaN,1,27.949,1,14.017
0.05,0.0589473684210526,49,0.905,10.8497237569061,0,NaN,1,28.389,1,13.948
0.05,0.0589473684210526,50,0.909,7.91749174917492,0,NaN,1,27.059,1,11.095
0.05,0.0589473684210526,51,0.919,9.30685527747552,0,NaN,1,27.001,1,11.85
0.05,0.0589473684210526,52,0.902,10.330376940133,0,NaN,1,26.253,1,13.897
0.05,0.0589473684210526,53,0.909,8.76567656765677,0,NaN,1,27.886,1,11.124
0.05,0.0589473684210526,54,0.897,9.21850613154961,0,NaN,1,28.341,1,11.545
0.05,0.0589473684210526,55,0.896,10.5569196428571,0,NaN,1,28.448,1,12.905
0.05,0.0589473684210526,56,0.911,10.8880351262349,0,NaN,1,29.404,1,13.313
0.05,0.0589473684210526,57,0.908,9.52092511013216,0,NaN,1,28.091,1,13.042
0.05,0.0589473684210526,58,0.907,9.58765159867696,0,NaN,1,26.99,1,12.496
0.05,0.0589473684210526,59,0.924,10.6244588744589,0,NaN,1,28.432,1,12.923
0.05,0.0589473684210526,60,0.909,10.4213421342134,0,NaN,1,27.299,1,12.436
0.05,0.0589473684210526,61,0.901,11.3185349611543,0,NaN,1,28.871,1,14.001
0.05,0.0589473684210526,62,0.928,10.0474137931034,0,NaN,1,27.458,1,13.781
0.05,0.0589473684210526,63,0.907,10.1532524807056,0,NaN,1,28.521,1,12.809
0.05,0.0589473684210526,64,0.911,9.35455543358946,0,NaN,1,28.239,1,12.537
0.05,0.0589473684210526,65,0.915,9.4120218579235,0,NaN,1,29.137,1,12.283
0.05,0.0589473684210526,66,0.897,9.98885172798216,0,NaN,1,28.578,1,12.833
0.05,0.0589473684210526,67,0.913,10.86856516977,0,NaN,1,31.789,1,13.425
0.05,0.0589473684210526,68,0.917,10.0370774263904,0,NaN,1,31.109,1,12.435
0.05,0.0589473684210526,69,0.916,10.296943231441,0,NaN,1,30.891,1,12.849
0.05,0.0589473684210526,70,0.919,8.93144722524483,0,NaN,1,29.326,1,12.413
0.05,0.0589473684210526,71,0.902,10.2372505543237,0,NaN,1,30.219,1,12.905
0.05,0.0589473684210526,72,0.925,10.2908108108108,0,NaN,1,30.695,1,12.866
0.05,0.0589473684210526,73,0.902,10.2161862527716,0,NaN,1,29.109,1,13.787
0.05,0.0589473684210526,74,0.915,10.016393442623,0,NaN,1,28.693,1,13.238
0.05,0.0589473684210526,75,0.904,9.5,0,NaN,1,28.251,1,12.34
0.05,0.0589473684210526,76,0.903,8.56699889258029,0,NaN,1,27.991,1,11.965
0.05,0.0589473684210526,77,0.908,8.77202643171806,0,NaN,1,27.133,1,11.731
0.05,0.0589473684210526,78,0.904,9.25221238938053,0,NaN,1,26.476,1,12.375
0.05,0.0589473684210526,79,0.903,11.0553709856035,0,NaN,1,28.593,1,13.576
0.05,0.0589473684210526,80,0.912,9.05592105263158,0,NaN,1,28.057,1,11.118
0.05,0.0589473684210526,81,0.912,9.63706140350877,0,NaN,1,29.37,1,12.545
0.05,0.0589473684210526,82,0.891,9.52861952861953,0,NaN,1,27.078,1,12.082
0.05,0.0589473684210526,83,0.896,9.55357142857143,0,NaN,1,27.588,1,12.069
0.05,0.0589473684210526,84,0.907,9.56008820286659,0,NaN,1,27.78,1,13.072
0.05,0.0589473684210526,85,0.903,9.92469545957918,0,NaN,1,27.968,1,13.458
0.05,0.0589473684210526,86,0.924,10.9112554112554,0,NaN,1,29.16,1,14.249
0.05,0.0589473684210526,87,0.914,10.3621444201313,0,NaN,1,28.96,1,14
0.05,0.0589473684210526,88,0.929,10.491926803014,0,NaN,1,28.545,1,14.936
0.05,0.0589473684210526,89,0.906,10.4679911699779,0,NaN,1,28.941,1,13.943
0.05,0.0589473684210526,90,0.909,8.80638063806381,0,NaN,1,27.424,1,11.793
0.05,0.0589473684210526,91,0.914,10.753829321663,0,NaN,1,29.131,1,12.543
0.05,0.0589473684210526,92,0.915,10.7639344262295,0,NaN,1,30.476,1,13.348
0.05,0.0589473684210526,93,0.914,9.02078774617068,0,NaN,1,29.447,1,12.646
0.05,0.0589473684210526,94,0.926,10.7030237580994,0,NaN,1,29.471,1,14.263
0.05,0.0589473684210526,95,0.925,8.41189189189189,0,NaN,1,27.402,1,11.327
0.05,0.0589473684210526,96,0.914,10.5908096280088,0,NaN,1,28.597,1,12.831
0.05,0.0589473684210526,97,0.91,8.94395604395604,0,NaN,1,28.502,1,11.666
0.05,0.0589473684210526,98,0.918,10.9749455337691,0,NaN,1,30.614,1,12.998
0.05,0.0589473684210526,99,0.896,9.68526785714286,0,NaN,1,29.94,1,11.899
0.05,0.0589473684210526,100,0.904,9.85951327433628,0,NaN,1,28.785,1,13.368
0.1,0.124444444444444,1,0.785,11.5834394904459,0.208,388.245192307692,1,28.029,1,12.929
0.1,0.124444444444444,2,0.795,8.87169811320755,0.197,387.959390862944,1,26.073,1,11.673
0.1,0.124444444444444,3,0.813,8.98277982779828,0.18,389.816666666667,1,26.314,1,10.756
0.1,0.124444444444444,4,0.809,9.15080346106304,0.182,392.269230769231,1,24.102,1,11.241
0.1,0.124444444444444,5,0.817,8.43329253365973,0.176,393.568181818182,1,24.075,1,10.558
0.1,0.124444444444444,6,0.81,8.45061728395062,0.185,388.443243243243,1,23.194,1,11.108
0.1,0.124444444444444,7,0.807,8.86245353159851,0.186,390.327956989247,1,22.9,1,9.368
0.1,0.124444444444444,8,0.796,8.38693467336683,0.194,393.164948453608,1,22.398,1,9.449
0.1,0.124444444444444,9,0.821,8.60048721071864,0.172,384.953488372093,1,22.873,1,10.204
0.1,0.124444444444444,10,0.798,9.95739348370927,0.197,393.065989847716,1,23.743,1,10.644
0.1,0.124444444444444,11,0.807,10.2478314745973,0.182,387.115384615385,1,23.615,1,12.172
0.1,0.124444444444444,12,0.81,8.78271604938272,0.184,388.423913043478,1,23.115,1,10.907
0.1,0.124444444444444,13,0.822,8.71411192214112,0.173,387.890173410405,1,23.197,1,10.391
0.1,0.124444444444444,14,0.788,9.23096446700508,0.206,387.883495145631,1,23.638,1,10.471
0.1,0.124444444444444,15,0.815,7.96319018404908,0.178,392.842696629213,1,22.254,1,10.825
0.1,0.124444444444444,16,0.819,10.7008547008547,0.176,387.977272727273,1,23.204,1,11.524
0.1,0.124444444444444,17,0.796,11.391959798995,0.195,387.476923076923,1,23.572,1,12.219
0.1,0.124444444444444,18,0.811,8.29099876695438,0.178,383.460674157303,1,22.041,1,10.513
0.1,0.124444444444444,19,0.796,7.80150753768844,0.19,392.036842105263,1,21.624,1,8.919
0.1,0.124444444444444,20,0.822,8.89051094890511,0.167,394.694610778443,1,22.445,1,9.513
0.1,0.124444444444444,21,0.821,9.21437271619976,0.168,388.964285714286,1,22.513,1,10.326
0.1,0.124444444444444,22,0.821,10.5432399512789,0.167,392.622754491018,1,23.801,1,11.95
0.1,0.124444444444444,23,0.805,10.1962732919255,0.184,392.869565217391,1,23.933,1,10.953
0.1,0.124444444444444,24,0.8,8.645,0.189,388.047619047619,1,23.548,1,10.1
