SeedDensity,PlantDensity,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
80,1,1,0.336,16.0238095238095,0.664,Inf,1,16.0386904761905,1,17.0089285714286
80,1,2,0.313,8.19568567026194,0.687,Inf,1,17.0159744408946,1,17.9712460063898
80,1,3,0.298,5.06652587117212,0.702,Inf,1,16.1107382550336,1,17.0906040268456
80,1,4,0.34,4.45454545454545,0.66,Inf,1,16.8823529411765,1,17.8411764705882
80,1,5,0.299,3.12736443883985,0.701,Inf,1,16.6053511705686,1,17.5719063545151
80,1,6,0.325,2.63579277864992,0.675,Inf,1,15.5107692307692,1,16.4861538461538
80,1,7,0.335,2.72395369545859,0.665,Inf,1,18.2686567164179,1,19.2567164179104
80,1,8,0.321,1.99493572263342,0.679,Inf,1,15.9719626168224,1,16.9345794392523
80,1,9,0.32,1.79632836854867,0.68,Inf,1,16.21875,1,17.19375
80,1,10,0.328,1.78849144634526,0.672,Inf,1,17.5335365853659,1,18.5243902439024
80,1,11,0.301,1.45932878270762,0.699,Inf,1,17.0564784053156,1,18.0365448504983
80,1,12,0.312,1.30668756530826,0.688,Inf,1,16.0480769230769,1,17.0160256410256
80,1,13,0.321,1.30151843817787,0.679,Inf,1,16.8473520249221,1,17.797507788162
80,1,14,0.314,0.965718126820524,0.686,Inf,1,13.7324840764331,1,14.7197452229299
80,1,15,0.317,1.00062761506276,0.683,Inf,1,15.1009463722397,1,16.0757097791798
80,1,16,0.298,0.951752658526979,0.702,Inf,1,16.2281879194631,1,17.2080536912752
80,1,17,0.306,1.07540861812779,0.694,Inf,1,18.9313725490196,1,19.9117647058824
80,1,18,0.306,0.951318101933216,0.694,Inf,1,17.702614379085,1,18.6764705882353
80,1,19,0.314,0.884410393071286,0.686,Inf,1,16.9363057324841,1,17.8853503184713
80,1,20,0.321,0.838418972332016,0.679,Inf,1,16.5327102803738,1,17.5077881619938
80,1,21,0.316,0.831350700195754,0.684,Inf,1,17.496835443038,1,18.4462025316456
80,1,22,0.327,0.871125143513203,0.673,Inf,1,18.5749235474006,1,19.5504587155963
80,1,23,0.331,0.715851486505001,0.669,Inf,1,15.8036253776435,1,16.7673716012085
80,1,24,0.33,0.816358631537554,0.67,Inf,1,18.8757575757576,1,19.8666666666667
80,1,25,0.31,0.69593147751606,0.69,Inf,1,17.8258064516129,1,18.8193548387097
80,1,26,0.308,0.658906268946283,0.692,Inf,1,17.6688311688312,1,18.6168831168831
80,1,27,0.312,0.670755929431008,0.688,Inf,1,18.4198717948718,1,19.3814102564103
80,1,28,0.323,0.572281017788786,0.677,Inf,1,15.7554179566563,1,16.71826625387
80,1,29,0.338,0.655097613882863,0.662,Inf,1,17.8816568047337,1,18.8579881656805
80,1,30,0.296,0.561790668348045,0.704,Inf,1,18.0709459459459,1,19.0506756756757
80,1,31,0.313,0.554379896225455,0.687,Inf,1,17.4153354632588,1,18.4025559105431
80,1,32,0.323,0.61613475177305,0.677,Inf,1,19.3839009287926,1,20.3467492260062
80,1,33,0.319,0.495750167128259,0.681,Inf,1,16.2852664576803,1,17.2601880877743
80,1,34,0.317,0.531701890989989,0.683,Inf,1,18.1072555205047,1,19.0820189274448
80,1,35,0.299,0.468747181383602,0.701,Inf,1,17.3946488294314,1,18.3678929765886
80,1,36,0.325,0.385821941815633,0.675,Inf,1,13.5507692307692,1,14.5446153846154
80,1,37,0.325,0.494248956292068,0.675,Inf,1,17.8615384615385,1,18.8369230769231
80,1,38,0.326,0.398574152366741,0.674,Inf,1,14.7515337423313,1,15.7453987730061
80,1,39,0.295,0.446916976857097,0.705,Inf,1,18.7491525423729,1,19.6949152542373
80,1,40,0.325,0.434439801308839,0.675,Inf,1,16.9753846153846,1,17.9323076923077
80,1,41,0.323,0.436798400738121,0.677,Inf,1,17.6006191950464,1,18.5758513931889
80,1,42,0.326,0.417716771677168,0.674,Inf,1,17.0920245398773,1,18.0705521472393
80,1,43,0.321,0.376986742840401,0.679,Inf,1,16.0654205607477,1,17.0031152647975
80,1,44,0.304,0.370136848893029,0.696,Inf,1,17.0032894736842,1,17.9835526315789
80,1,45,0.312,0.378933352021866,0.688,Inf,1,17.3429487179487,1,18.3173076923077
80,1,46,0.325,0.375633822118679,0.675,Inf,1,16.8892307692308,1,17.8461538461538
80,1,47,0.326,0.323056300268097,0.674,Inf,1,14.8128834355828,1,15.7576687116564
80,1,48,0.324,0.351220152191026,0.676,Inf,1,16.5432098765432,1,17.5061728395062
80,1,49,0.334,0.380279881884709,0.666,Inf,1,17.751497005988,1,18.7215568862275
80,1,50,0.313,0.379648857844063,0.687,Inf,1,19.2811501597444,1,20.2683706070288
80,1,51,0.327,0.329942039708965,0.673,Inf,1,16.3669724770642,1,17.3608562691131
80,1,52,0.319,0.304529237467497,0.681,Inf,1,15.8056426332288,1,16.7680250783699
80,1,53,0.314,0.353154115482761,0.686,Inf,1,18.9808917197452,1,19.9235668789809
80,1,54,0.315,0.264243271583362,0.685,Inf,1,14.4222222222222,1,15.3777777777778
80,1,55,0.308,0.309431154858647,0.692,Inf,1,17.5746753246753,1,18.5357142857143
80,1,56,0.325,0.291589415135682,0.675,Inf,1,15.9815384615385,1,16.9569230769231
80,1,57,0.304,0.258023532011269,0.696,Inf,1,15.375,1,16.3552631578947
80,1,58,0.324,0.323112823574103,0.676,Inf,1,18.391975308642,1,19.3611111111111
80,1,59,0.318,0.305628167511336,0.682,Inf,1,18.0251572327044,1,19.0062893081761
80,1,60,0.312,0.285931678648266,0.688,Inf,1,17.4903846153846,1,18.4391025641026
80,1,61,0.298,0.267786101782485,0.702,Inf,1,17.4060402684564,1,18.3791946308725
80,1,62,0.294,0.220927273652603,0.706,Inf,1,14.7789115646259,1,15.7517006802721
80,1,63,0.31,0.244150508542512,0.69,Inf,1,15.7322580645161,1,16.7
80,1,64,0.325,0.259514888582134,0.675,Inf,1,16.2092307692308,1,17.1846153846154
80,1,65,0.309,0.251638906424513,0.691,Inf,1,16.789644012945,1,17.747572815534
80,1,66,0.327,0.266682600382409,0.673,Inf,1,17.0795107033639,1,18.039755351682
80,1,67,0.332,0.277103331451158,0.668,Inf,1,17.7469879518072,1,18.7289156626506
80,1,68,0.306,0.276417107338343,0.694,Inf,1,19.483660130719,1,20.4640522875817
80,1,69,0.313,0.275021718257053,0.687,Inf,1,19.2268370607029,1,20.2076677316294
80,1,70,0.3,0.223309728925173,0.7,Inf,1,16.5333333333333,1,17.4733333333333
