SeedDensity,PlantDensity,Run,pEscape,timeEscape,pExtinct,timeExtinct,pRWplant,timeRWplant,pRRplant,timeRRplant
80,1,1,0.299,18.6053511705686,0.701,Inf,1,18.8979591836735,1,1.4
80,1,2,0.322,8.77133655394525,0.678,Inf,1,17.0595611285266,1,1.5
80,1,3,0.306,6.02373247033441,0.694,Inf,1,18.5766666666667,1,1.83333333333333
80,1,4,0.328,4.1609561752988,0.672,Inf,1,16.2274143302181,1,1.75
80,1,5,0.321,3.55647208121827,0.679,Inf,1,17.6656151419558,1,1.25
80,1,6,0.327,2.91539674198634,0.673,Inf,1,17.108024691358,1,1.5
80,1,7,0.327,2.30448430493274,0.673,Inf,1,15.8947368421053,1,1.2
80,1,8,0.321,2.2359858878871,0.679,Inf,1,18.0825396825397,1,1.33333333333333
80,1,9,0.313,1.80935754189944,0.687,Inf,1,16.8534201954397,1,1.25
80,1,10,0.307,1.4727215389467,0.693,Inf,1,15.4916943521595,1,1.16666666666667
80,1,11,0.329,1.46628571428571,0.671,Inf,1,15.7723076923077,1,1.5
80,1,12,0.341,1.47071075240823,0.659,Inf,1,16.874251497006,1,1.66666666666667
80,1,13,0.305,1.23950795947902,0.695,Inf,1,17.1571906354515,1,1.5
80,1,14,0.343,1.29984406326576,0.657,Inf,1,17.2908011869436,1,1.28571428571429
80,1,15,0.296,1.12852664576802,0.704,Inf,1,18.3605442176871,1,1
80,1,16,0.341,0.969957081545064,0.659,Inf,1,14.8149253731343,1,1.5
80,1,17,0.303,0.85190642843986,0.697,Inf,1,15.597972972973,1,1.14285714285714
80,1,18,0.32,0.933901548095321,0.68,Inf,1,16.9778481012658,1,1
80,1,19,0.317,0.887240356083086,0.683,Inf,1,17.1757188498403,1,1.28571428571429
80,1,20,0.322,0.873669380087664,0.678,Inf,1,17.5377358490566,1,1
80,1,21,0.309,0.855009705838435,0.691,Inf,1,18.6449511400651,1,1
80,1,22,0.322,0.755805670323408,0.678,Inf,1,16.565625,1,1.66666666666667
80,1,23,0.316,0.779004771642808,0.684,Inf,1,18.4595469255663,1,1.375
80,1,24,0.298,0.70653740338006,0.702,Inf,1,18.3788395904437,1,1.6
80,1,25,0.318,0.735882278958622,0.682,Inf,1,18.552380952381,1,2.33333333333333
80,1,26,0.317,0.651910982099661,0.683,Inf,1,17.25,1,1.5
80,1,27,0.328,0.731154025127966,0.672,Inf,1,19.4396284829721,1,1.16666666666667
80,1,28,0.313,0.59658772028286,0.687,Inf,1,17.1877022653722,1,1
80,1,29,0.295,0.504780530204259,0.705,Inf,1,15.8430034129693,1,1.66666666666667
80,1,30,0.323,0.561246982260943,0.677,Inf,1,16.7924528301887,1,1.4
80,1,31,0.321,0.55178716490658,0.679,Inf,1,17.3130990415335,1,1.875
80,1,32,0.337,0.627000490918017,0.663,Inf,1,19.1591591591592,1,1.5
80,1,33,0.315,0.504857142857143,0.685,Inf,1,17.0838709677419,1,1
80,1,34,0.321,0.505406154699196,0.679,Inf,1,17.2784810126582,1,1.66666666666667
80,1,35,0.31,0.451082562213638,0.69,Inf,1,16.288961038961,1,1.5
80,1,36,0.324,0.443910955914448,0.676,Inf,1,15.7826086956522,1,1.33333333333333
80,1,37,0.294,0.419184611456294,0.706,Inf,1,17.1219512195122,1,1.5
80,1,38,0.306,0.482455412691829,0.694,Inf,1,19.2990033222591,1,1.33333333333333
80,1,39,0.312,0.469798657718121,0.688,Inf,1,18.9575163398693,1,1.375
80,1,40,0.33,0.438528786327479,0.67,Inf,1,17.1635802469136,1,1.14285714285714
80,1,41,0.308,0.398462129950019,0.692,Inf,1,17.0197368421053,1,1.8
80,1,42,0.311,0.408455992790628,0.689,Inf,1,17.9701986754967,1,1.3
80,1,43,0.354,0.482955376737381,0.646,Inf,1,18.8514285714286,1,1
80,1,44,0.311,0.362062799513626,0.689,Inf,1,16.4220779220779,1,1.33333333333333
80,1,45,0.298,0.328944603963863,0.702,Inf,1,15.9118644067797,1,1
80,1,46,0.318,0.374254983900802,0.682,Inf,1,17.4903846153846,1,1
80,1,47,0.32,0.33250653616679,0.68,Inf,1,15.7174603174603,1,1.66666666666667
80,1,48,0.305,0.322559453422678,0.695,Inf,1,16.4915824915825,1,1.5
80,1,49,0.302,0.352228807008503,0.698,Inf,1,18.1661129568106,1,0.666666666666667
80,1,50,0.319,0.371078709840308,0.681,Inf,1,18.5917721518987,1,1.33333333333333
80,1,51,0.311,0.341463414634146,0.689,Inf,1,17.9025974025974,1,0.75
80,1,52,0.322,0.329813061422675,0.678,Inf,1,17.025078369906,1,1
80,1,53,0.313,0.301983441539103,0.687,Inf,1,16.2926045016077,1,1.5
80,1,54,0.31,0.295982221182525,0.69,Inf,1,16.5130718954248,1,1.8
80,1,55,0.323,0.300654345080932,0.677,Inf,1,16.4012539184953,1,1.5
80,1,56,0.354,0.346590909090909,0.646,Inf,1,17.6246418338109,1,2
80,1,57,0.283,0.283847389113461,0.717,Inf,1,18.4136690647482,1,1.4
80,1,58,0.331,0.302936378466558,0.669,Inf,1,17.1604938271605,1,1.44444444444444
80,1,59,0.303,0.268175252768416,0.697,Inf,1,16.9491525423729,1,1.55555555555556
80,1,60,0.325,0.315227679040909,0.675,Inf,1,18.71875,1,1
80,1,61,0.296,0.262710986848918,0.704,Inf,1,17.3037542662116,1,1.25
80,1,62,0.312,0.273514725364313,0.688,Inf,1,17.4123376623377,1,1.25
80,1,63,0.32,0.282863732076607,0.68,Inf,1,17.9299363057325,1,2
80,1,64,0.301,0.274411023855386,0.699,Inf,1,18.7533783783784,1,1
80,1,65,0.328,0.285832320777643,0.672,Inf,1,18.1702786377709,1,2.4
80,1,66,0.319,0.271274049966498,0.681,Inf,1,18.0254777070064,1,1.5
80,1,67,0.319,0.244472728986942,0.681,Inf,1,16.4018987341772,1,1
80,1,68,0.313,0.26140481278454,0.687,Inf,1,18.1974110032362,1,1
80,1,69,0.343,0.257396314417669,0.657,Inf,1,16.5870206489676,1,1.4
80,1,70,0.307,0.233676046176046,0.693,Inf,1,17.0197368421053,1,2.66666666666667
80,1,71,0.32,0.267291963015647,0.68,Inf,1,19.003164556962,1,2
80,1,72,0.303,0.206938900828984,0.697,Inf,1,15.8918918918919,1,1.875
80,1,73,0.338,0.248692570341877,0.662,Inf,1,17.1582089552239,1,1.75
80,1,74,0.324,0.249733600443289,0.676,Inf,1,18.290625,1,1.4
80,1,75,0.312,0.242207546376141,0.688,Inf,1,18.6785714285714,1,1.2
80,1,76,0.316,0.246128938519656,0.684,Inf,1,19.2142857142857,1,1.375
80,1,77,0.313,0.221457257601836,0.687,Inf,1,17.4225806451613,1,1
80,1,78,0.295,0.207879499534356,0.705,Inf,1,17.6254295532646,1,1.2
80,1,79,0.319,0.209306044131756,0.681,Inf,1,16.5601265822785,1,1
80,1,80,0.335,0.238846593822729,0.665,Inf,1,18.1741741741742,1,1.5
80,1,81,0.318,0.195683509291363,0.682,Inf,1,16.0223642172524,1,1.6
80,1,82,0.319,0.218254579036478,0.681,Inf,1,18.0477707006369,1,1
80,1,83,0.318,0.193415950733673,0.682,Inf,1,16.1333333333333,1,2
80,1,84,0.308,0.214774179003532,0.692,Inf,1,18.7344262295082,1,0.8
80,1,85,0.314,0.204953951277481,0.686,Inf,1,17.8831168831169,1,1.83333333333333
80,1,86,0.303,0.200066101134736,0.697,Inf,1,18.14,1,1.75
80,1,87,0.29,0.177173794556884,0.71,Inf,1,17,1,3.5
80,1,88,0.328,0.20553700312399,0.672,Inf,1,17.5490797546012,1,1.5
80,1,89,0.301,0.18316163410302,0.699,Inf,1,17.2919463087248,1,1
80,1,90,0.303,0.161564685621903,0.697,Inf,1,15.4966216216216,1,1.42857142857143
80,1,91,0.32,0.184200465714385,0.68,Inf,1,17.1003236245955,1,1.45454545454545
80,1,92,0.318,0.204049362345743,0.682,Inf,1,18.8285714285714,1,1.66666666666667
80,1,93,0.322,0.171352803182266,0.678,Inf,1,15.8270440251572,1,1.75
80,1,94,0.281,0.165757392065737,0.719,Inf,1,17.8115942028986,1,1.16666666666667
80,1,95,0.31,0.152779629382749,0.69,Inf,1,14.9153094462541,1,1.66666666666667
80,1,96,0.291,0.168113550090774,0.709,Inf,1,17.6055363321799,1,2.5
80,1,97,0.31,0.179415128247018,0.69,Inf,1,17.9704918032787,1,1.83333333333333
80,1,98,0.32,0.179822150363783,0.68,Inf,1,17.5362776025237,1,0.75
80,1,99,0.328,0.171087575592743,0.672,Inf,1,16.5807453416149,1,1.25
80,1,100,0.3,0.147244319082179,0.7,Inf,1,15.6329966329966,1,1
120,1.5,1,0.386,0.202865020758723,0.614,Inf,1,16.738219895288,1,1.5
120,1.5,2,0.416,0.21132697366336,0.584,Inf,1,16.1747572815534,1,1
120,1.5,3,0.429,0.236617754254746,0.571,Inf,1,17.7852028639618,1,1.4
120,1.5,4,0.394,0.204417963426616,0.606,Inf,1,16.7447916666667,1,1.83333333333333
120,1.5,5,0.412,0.196399708427091,0.588,Inf,1,15.243842364532,1,1.33333333333333
120,1.5,6,0.365,0.176718537064621,0.635,Inf,1,15.5530726256983,1,1.125
120,1.5,7,0.387,0.195290463664311,0.613,Inf,1,16.4664879356568,1,1.4
120,1.5,8,0.398,0.193008588723735,0.602,Inf,1,15.5102040816327,1,1.57142857142857
120,1.5,9,0.404,0.187113745127246,0.596,Inf,1,14.8140703517588,1,1.2
120,1.5,10,0.382,0.18340569834881,0.618,Inf,1,15.2612137203166,1,1
120,1.5,11,0.419,0.18388108896143,0.581,Inf,1,13.966265060241,1,1.28571428571429
120,1.5,12,0.429,0.227331790954901,0.571,Inf,1,16.9715639810427,1,1.57142857142857
120,1.5,13,0.389,0.203245333248819,0.611,Inf,1,16.7180156657963,1,1.66666666666667
120,1.5,14,0.379,0.188096219059994,0.621,Inf,1,15.8133333333333,1,1.2
120,1.5,15,0.41,0.20688999461224,0.59,Inf,1,16.1361386138614,1,1.33333333333333
120,1.5,16,0.383,0.184007859791462,0.617,Inf,1,15.2657894736842,1,1.4
120,1.5,17,0.381,0.182581687953602,0.619,Inf,1,15.5663956639566,1,1.41666666666667
120,1.5,18,0.399,0.196938484454727,0.601,Inf,1,15.9076923076923,1,1.11111111111111
120,1.5,19,0.376,0.175577599594333,0.624,Inf,1,14.8870967741935,1,0.666666666666667
120,1.5,20,0.368,0.179729344277882,0.632,Inf,1,15.7222222222222,1,1.27272727272727
120,1.5,21,0.385,0.204956739454252,0.615,Inf,1,17.0316622691293,1,1.85714285714286
120,1.5,22,0.402,0.209995879948024,0.598,Inf,1,16.6356783919598,1,1.16666666666667
120,1.5,23,0.377,0.176433302697049,0.623,Inf,1,14.9008042895442,1,2
120,1.5,24,0.374,0.195797546984439,0.626,Inf,1,16.6415094339623,1,1.33333333333333
120,1.5,25,0.372,0.182011219218458,0.628,Inf,1,15.728021978022,1,1.90909090909091
120,1.5,26,0.386,0.209678952872944,0.614,Inf,1,17.2291666666667,1,0.6
120,1.5,27,0.399,0.208759864355212,0.601,Inf,1,16.6607594936709,1,1.4
120,1.5,28,0.385,0.183152156688746,0.615,Inf,1,15.4144385026738,1,1.25
120,1.5,29,0.389,0.195607390739391,0.611,Inf,1,16.0546875,1,1.4
120,1.5,30,0.368,0.168858745602637,0.632,Inf,1,14.9213483146067,1,1.30769230769231
120,1.5,31,0.398,0.182740151491142,0.602,Inf,1,14.6539440203562,1,1.4
120,1.5,32,0.364,0.219598770322949,0.636,Inf,1,19.3809523809524,1,1.27272727272727
120,1.5,33,0.403,0.202484708268627,0.597,Inf,1,16.0680100755668,1,1.57142857142857
120,1.5,34,0.372,0.18277184419865,0.628,Inf,1,15.6494565217391,1,1.66666666666667
120,1.5,35,0.419,0.21101004658828,0.581,Inf,1,16.2420537897311,1,1.45454545454545
120,1.5,36,0.372,0.18356416188635,0.628,Inf,1,15.7629427792916,1,1.4
120,1.5,37,0.375,0.175419136056793,0.625,Inf,1,14.9486486486486,1,0.857142857142857
120,1.5,38,0.419,0.20482996862422,0.581,Inf,1,15.7048780487805,1,2.5
120,1.5,39,0.382,0.201755775995943,0.618,Inf,1,16.9095744680851,1,1.28571428571429
120,1.5,40,0.357,0.177289005799765,0.643,Inf,1,15.8721590909091,1,1.4
120,1.5,41,0.372,0.204227807181568,0.628,Inf,1,17.6620879120879,1,1.7
120,1.5,42,0.385,0.173168953823725,0.615,Inf,1,14.3984168865435,1,1.14285714285714
120,1.5,43,0.404,0.201185307260799,0.596,Inf,1,15.9221105527638,1,1.71428571428571
120,1.5,44,0.376,0.166862105029633,0.624,Inf,1,14.1972972972973,1,1.75
120,1.5,45,0.401,0.196558171964631,0.599,Inf,1,15.6708860759494,1,2
120,1.5,46,0.397,0.195290463664311,0.603,Inf,1,15.7289002557545,1,1.85714285714286
